Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel,Timestamp (Formatted),Stimulus_Direction,Stimulus_Number
72.0,18626.267448218758,3414.251317292609,-66190.98081481228,-64650.09625555233,-38581.83784268354,-36270.75687298261,-31771.82010076286,-22894.422458937464,0.0,0.0,0.0,193.0,1.0,155.0,0.0,10.0,3.0,251.0,411.0,10.0,1019.0,1744252605.2804356,0.0,2025-04-09 22:36:45.280,STOP,4
73.0,18711.04761493774,3460.966463204201,-66149.9653637368,-64664.49077898155,-38498.465835865245,-36179.67351432723,-32162.50624209717,-22822.539248769197,0.0,0.0,0.0,193.0,1.0,154.0,0.0,9.0,3.0,249.0,410.0,9.0,1017.0,1744252605.2804444,0.0,2025-04-09 22:36:45.280,STOP,4
74.0,18637.420968701957,3461.413498093307,-66120.01402616668,-64611.78536555593,-38463.10537613695,-36156.51710707154,-32059.129423991377,-22785.457704717843,0.0,0.0,0.0,193.0,1.0,155.0,0.0,8.0,3.0,251.0,411.0,8.0,1019.0,1744252605.2804532,0.0,2025-04-09 22:36:45.280,STOP,4
75.0,18548.170453091916,3438.5253117710727,-66164.82927379958,-64676.7171831986,-38490.73213228371,-36184.68030508522,-31970.795329904002,-22817.107774866556,0.0,0.0,0.0,193.0,1.0,154.0,0.0,8.0,3.0,249.0,410.0,8.0,1017.0,1744252605.2804615,0.0,2025-04-09 22:36:45.280,STOP,4
76.0,18588.001261711273,3410.406817246296,-66188.83504734458,-64654.678363165665,-38567.64448495442,-36263.31374207899,-31818.57995016336,-22891.38262169154,0.0,0.0,0.0,193.0,1.0,154.0,0.0,7.0,3.0,249.0,410.0,7.0,1017.0,1744252605.2804701,0.0,2025-04-09 22:36:45.280,STOP,4
77.0,18710.399414348532,3455.937320701757,-66168.9196430349,-64669.430514506166,-38527.7913245906,-36207.389677451814,-32025.110068930397,-22851.194185160897,0.0,0.0,0.0,193.0,1.0,154.0,0.0,7.0,3.0,248.0,410.0,7.0,1016.0,1744252605.2804787,0.0,2025-04-09 22:36:45.280,STOP,4
78.0,18667.707582438896,3488.615571095416,-66090.28620604113,-64580.984661696515,-38439.68074794779,-36119.45791476464,-32156.35951237196,-22757.383913681977,0.0,0.0,0.0,193.0,1.0,154.0,0.0,6.0,3.0,250.0,410.0,6.0,1018.0,1744252605.759312,0.0,2025-04-09 22:36:45.759,STOP,4
79.0,18581.876883730518,3466.35323361793,-66141.20347991031,-64642.787235115444,-38474.23654487569,-36157.21001114965,-31923.856666547857,-22795.27012053372,0.0,0.0,0.0,193.0,1.0,154.0,0.0,6.0,3.0,251.0,410.0,6.0,1019.0,1744252605.7593563,0.0,2025-04-09 22:36:45.759,STOP,4
80.0,18560.978002664808,3406.227041033154,-66183.26946297521,-64656.13122655526,-38559.86607788397,-36245.96878838167,-31889.50203532005,-22874.70822032788,0.0,0.0,0.0,193.0,1.0,155.0,0.0,6.0,3.0,252.0,411.0,6.0,1020.0,1744252605.759375,0.0,2025-04-09 22:36:45.759,STOP,4
81.0,18705.593789290644,3447.600120019927,-66183.73884960877,-64672.55975872991,-38564.71640643077,-36240.58201796794,-31906.690526806182,-22880.67613609745,0.0,0.0,0.0,193.0,1.0,155.0,0.0,5.0,3.0,251.0,411.0,5.0,1019.0,1744252605.7593925,0.0,2025-04-09 22:36:45.759,STOP,4
