Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel,Timestamp (Formatted),Stimulus_Direction,Stimulus_Number
236.0,16155.706781829213,23662.473101910724,-31203.482294497764,-18709.147716659038,-33885.93749832362,-25106.39579372356,-14410.974313136854,-29305.84154198665,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5823195,0.0,2025-04-11 21:18:08.582,STOP,49
237.0,16131.253973395107,23672.754904360165,-31197.044992094638,-18696.18370487496,-33879.99193429851,-25081.741819589355,-14760.7344103735,-29260.065169342182,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,180.0,194.0,1.0,180.0,1744420688.5823665,0.0,2025-04-11 21:18:08.582,STOP,49
238.0,16131.0081042061,23678.119323029438,-31193.088733326047,-18693.255626351314,-33879.88017557623,-25084.804008579733,-14857.763333053987,-29262.814433910185,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,179.0,194.0,1.0,179.0,1744420688.5824113,0.0,2025-04-11 21:18:08.582,STOP,49
239.0,16150.789398049046,23677.560529418057,-31201.001250863228,-18698.597693276133,-33888.12796928024,-25101.63487215458,-14385.001586079787,-29217.105116499082,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5824566,0.0,2025-04-11 21:18:08.582,STOP,49
240.0,16149.850624781922,23665.602346134467,-31201.18006481887,-18710.354710859625,-33886.74216112401,-25100.427877953993,-14374.004527807776,-29276.44899802792,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,179.0,194.0,1.0,179.0,1744420688.5825367,0.0,2025-04-11 21:18:08.582,STOP,49
241.0,16128.258839638096,23671.05617178156,-31203.526997986675,-18708.18659164746,-33887.77034136896,-25098.952662819942,-14722.512927354925,-29276.89603291703,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5826027,0.0,2025-04-11 21:18:08.582,STOP,49
242.0,16120.838060478934,23681.136808530904,-31191.79233214764,-18697.904789198015,-33878.74023660901,-25090.54840690475,-14905.394900488247,-29277.007791639306,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,180.0,194.0,1.0,180.0,1744420688.582651,0.0,2025-04-11 21:18:08.582,STOP,49
243.0,16149.00125849262,23685.65186091088,-31200.688326440853,-18699.335300843155,-33893.6488501607,-25106.9769390794,-14488.087831507664,-29227.72219511535,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5826993,0.0,2025-04-11 21:18:08.582,STOP,49
244.0,16156.48909288515,23676.375886961927,-31208.60084397803,-18721.08354819817,-33896.77809438445,-25121.259703786338,-14363.074524769132,-29299.359536094613,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5827463,0.0,2025-04-11 21:18:08.582,STOP,49
245.0,16134.338514129939,23671.81613109304,-31202.185893319358,-18709.08066142567,-33877.3991319417,-25102.01485181032,-14663.057287103808,-29280.919346918985,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,179.0,194.0,1.0,179.0,1744420688.5828092,0.0,2025-04-11 21:18:08.582,STOP,49
246.0,16124.369636102872,23682.96965157624,-31194.45218973782,-18701.54812354423,-33869.39720742669,-25089.363764448615,-14891.492115437046,-29267.39654152352,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5828545,0.0,2025-04-11 21:18:08.582,STOP,49
247.0,16146.631973580359,23684.489570199203,-31198.02846885067,-18700.385832832555,-33878.82964358683,-25103.758287877834,-14570.766934247844,-29232.05843353968,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,180.0,194.0,1.0,180.0,1744420688.5828989,0.0,2025-04-11 21:18:08.582,STOP,49
248.0,16149.358886403907,23670.340915958994,-31209.807838178618,-18722.737577287862,-33892.75478038249,-25118.756308407344,-14300.556695527637,-29265.518994989277,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,179.0,194.0,1.0,179.0,1744420688.5829444,0.0,2025-04-11 21:18:08.582,STOP,49
249.0,16127.141252415331,23668.262203724647,-31206.231559065767,-18715.69677778444,-33887.859748346775,-25103.937101833475,-14600.539457862313,-29280.22644284087,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.58299,0.0,2025-04-11 21:18:08.582,STOP,49
250.0,16115.719510998668,23680.421552708336,-31199.660146195907,-18708.5665713032,-33882.47297793305,-25094.124686017596,-14903.47265046509,-29277.678343972966,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,180.0,194.0,1.0,180.0,1744420688.5830407,0.0,2025-04-11 21:18:08.583,STOP,49
251.0,16134.71849378568,23683.34963123198,-31196.799122905628,-18703.93976020095,-33882.696495377604,-25101.791334365767,-14682.43624954656,-29250.18569829294,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5832264,0.0,2025-04-11 21:18:08.583,STOP,49
252.0,16144.754427046113,23674.16306426085,-31212.668861468897,-18727.61025757912,-33898.47682696305,-25120.991482852874,-14304.870582207512,-29261.383922265046,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,180.0,194.0,1.0,180.0,1744420688.5832722,0.0,2025-04-11 21:18:08.583,STOP,49
253.0,16124.883726225344,23657.287497197092,-31218.614425494008,-18734.42753963799,-33898.074495562854,-25120.097413074665,-14542.290811811783,-29294.79978022573,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,179.0,194.0,1.0,179.0,1744420688.583315,0.0,2025-04-11 21:18:08.583,STOP,49
254.0,16113.551391786505,23670.25150898117,-31206.902111399428,-18718.244876652345,-33883.27764073344,-25105.837000112177,-14883.736060111054,-29295.783256981762,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5833778,0.0,2025-04-11 21:18:08.583,STOP,49
255.0,16124.347284358417,23678.83457885201,-31198.31904152859,-18707.18076314697,-33873.86755631775,-25101.81368611022,-14757.761628360944,-29253.247887283313,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,179.0,194.0,1.0,179.0,1744420688.5834212,0.0,2025-04-11 21:18:08.583,STOP,49
0.0,16147.280174169562,23681.516788186647,-31208.667899211396,-18720.681216797973,-33884.55169016739,-25116.744651406367,-14292.06303263462,-29222.514238657266,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5834644,0.0,2025-04-11 21:18:08.583,STOP,49
1.0,16144.86618576839,23667.368133946435,-31208.712602700307,-18723.430481365976,-33885.60222215679,-25112.29665425976,-14473.179217955974,-29292.408143569013,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,180.0,194.0,1.0,180.0,1744420688.5835068,0.0,2025-04-11 21:18:08.583,STOP,49
2.0,16127.409473348795,23679.482779441212,-31203.012907864206,-18711.137021915558,-33883.255288988985,-25098.237406997374,-14834.986905454029,-29285.94848942143,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5835657,0.0,2025-04-11 21:18:08.583,STOP,49
3.0,16133.57855481846,23691.508017958167,-31195.23450079376,-18704.47620206788,-33880.48367267653,-25097.365688963615,-14849.247318416516,-29270.391675280534,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,179.0,194.0,1.0,179.0,1744420688.5836163,0.0,2025-04-11 21:18:08.583,STOP,49
4.0,16158.72426733068,23690.859817368964,-31206.656242210418,-18716.389681862554,-33895.347582739305,-25116.521133961814,-14360.41466717895,-29233.89127658502,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.583726,0.0,2025-04-11 21:18:08.583,STOP,49
5.0,16150.09649397093,23674.028953794117,-31207.75147768873,-18726.157394189526,-33893.98412632753,-25113.97303509391,-14436.991743682831,-29293.413972069502,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.583783,0.0,2025-04-11 21:18:08.583,STOP,49
6.0,16121.66507502378,23676.062962539552,-31212.17712309088,-18722.08937669866,-33900.98022234204,-25109.547389691757,-14790.797506665887,-29288.898919689527,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,180.0,194.0,1.0,180.0,1744420688.5838406,0.0,2025-04-11 21:18:08.583,STOP,49
7.0,16130.024627450066,23687.752924889675,-31197.357916517012,-18708.99125444785,-33886.38453321273,-25101.947796576955,-14903.562057442912,-29283.84742544263,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420688.5838928,0.0,2025-04-11 21:18:08.583,STOP,49
