Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel,Timestamp (Formatted),Stimulus_Direction,Stimulus_Number
149.0,21151.209908868066,26210.14728667108,-32115.0311368741,-22849.316638626653,-36448.0509100021,-29136.035339359685,-14189.356766862486,-37900.243747263405,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.7745676,0.0,2025-04-11 21:14:55.774,FORWARD,25
150.0,21165.09034217481,26192.981146929404,-32131.70553823776,-22873.635336594027,-36464.41238694339,-29157.470662292322,-13833.606402111818,-37927.62463422115,0.0,0.0,0.0,193.0,0.0,193.0,0.0,2.0,0.0,179.0,193.0,2.0,179.0,1744420495.7746105,0.0,2025-04-11 21:14:55.774,FORWARD,25
151.0,21151.43342631262,26175.41267578753,-32132.13022138241,-22873.56828136066,-36459.204430485304,-29145.177202841904,-14085.376451656397,-37934.19604709101,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.774672,0.0,2025-04-11 21:14:55.774,FORWARD,25
152.0,21132.166222592143,26189.047239905267,-32125.022366645622,-22863.1970719334,-36447.06743324607,-29128.703967178342,-14394.411670495472,-37913.27481428085,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,179.0,194.0,1.0,179.0,1744420495.774715,0.0,2025-04-11 21:14:55.774,FORWARD,25
153.0,21138.581173250815,26193.741106240883,-32124.173000356317,-22861.56539458816,-36446.77686056815,-29136.325912037602,-14272.505256236227,-37904.17765428754,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.7747664,0.0,2025-04-11 21:14:55.774,FORWARD,25
154.0,21151.56753677935,26183.012268902337,-32147.55292505657,-22888.834522823636,-36468.0557212896,-29163.6844472509,-13836.780349824472,-37920.22620680645,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.7748084,0.0,2025-04-11 21:14:55.774,FORWARD,25
155.0,21136.345998805285,26162.806291914738,-32148.22347739023,-22891.896711814014,-36460.657293874894,-29151.882726178497,-14029.452387029218,-37951.11631764368,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.774856,0.0,2025-04-11 21:14:55.774,FORWARD,25
156.0,21114.128364816712,26174.652716476052,-32144.624846532926,-22881.503150642297,-36454.734081594244,-29140.505688250745,-14379.279539499228,-37947.69650074202,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.7749016,0.0,2025-04-11 21:14:55.774,FORWARD,25
157.0,21122.174992820623,26183.83928344718,-32140.55682904206,-22873.47887438284,-36451.13545073694,-29137.756423682742,-14367.74603936029,-37928.51870399937,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,178.0,193.0,1.0,178.0,1744420495.7749703,0.0,2025-04-11 21:14:55.774,FORWARD,25
158.0,21146.56074602136,26181.067667134725,-32155.487794338205,-22888.29808095671,-36467.36281721149,-29156.15190936946,-13880.679175934694,-37907.48571246692,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.7750173,0.0,2025-04-11 21:14:55.775,FORWARD,25
159.0,21137.977676150524,26164.46032100443,-32158.058244950564,-22899.04927003971,-36472.59312541403,-29155.257839591246,-13963.76061007507,-37942.823820450765,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.7750618,0.0,2025-04-11 21:14:55.775,FORWARD,25
160.0,21116.56470496234,26173.401018786553,-32147.910552967856,-22884.900615799503,-36459.29383746313,-29140.215115572824,-14329.256335408252,-37936.14064885863,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,180.0,193.0,1.0,180.0,1744420495.7751071,0.0,2025-04-11 21:14:55.775,FORWARD,25
161.0,21123.65020795467,26182.073495635213,-32135.55003828407,-22875.267013939265,-36445.435755900835,-29132.86139164703,-14410.057891614188,-37914.90649162608,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.7751904,0.0,2025-04-11 21:14:55.775,FORWARD,25
162.0,21151.321667590342,26181.42529504601,-32149.475175079726,-22890.063868768677,-36463.49596542072,-29164.422054817922,-13940.693609797194,-37911.73254391343,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.7752404,0.0,2025-04-11 21:14:55.775,FORWARD,25
163.0,21148.393589066698,26164.08034134869,-32149.9892652022,-22903.027880552756,-36462.78070959815,-29164.131482140005,-13918.118347897334,-37956.90541945761,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.775287,0.0,2025-04-11 21:14:55.775,FORWARD,25
164.0,21127.070024856333,26172.864576919626,-32139.729814497212,-22885.526464644252,-36446.28512219014,-29141.3774062845,-14245.034962300655,-37915.8005614043,0.0,0.0,0.0,193.0,0.0,194.0,0.0,1.0,0.0,179.0,194.0,1.0,179.0,1744420495.7753353,0.0,2025-04-11 21:14:55.775,FORWARD,25
165.0,21124.052539354867,26181.045315390267,-32126.855209690955,-22872.405990648986,-36436.606816840984,-29130.939141623872,-14418.931534162944,-37903.57415718724,0.0,0.0,0.0,193.0,0.0,193.0,0.0,1.0,0.0,179.0,193.0,1.0,179.0,1744420495.775386,0.0,2025-04-11 21:14:55.775,FORWARD,25
